datetime,nat_demand,T2M_toc,QV2M_toc,TQL_toc,W2M_toc,T2M_san,QV2M_san,TQL_san,W2M_san,T2M_dav,QV2M_dav,TQL_dav,W2M_dav,Holiday_ID,holiday,school
01-05-2020 00:00,1102.9328,26.8740173339844,0.01843737,0.036209106,17.919881739566772,25.0615173339844,0.017796502,0.055648804,4.158032365251884,23.3115173339844,0.017140374,0.055389404,1.8021118054501937,12,1,1
01-05-2020 01:00,1078.1345,26.768365478515648,0.018582689,0.05091858,16.628721176956365,24.799615478515648,0.017766343,0.06472778,3.771602701062489,23.143365478515648,0.016942369,0.05305481,1.8608561500429444,12,1,1
01-05-2020 02:00,1028.1121,26.687829589843773,0.018697305,0.06271362,15.906288256646036,24.640954589843773,0.017766519,0.070129395,3.455990806090524,23.023767089843773,0.016789956,0.061813354,1.870862974457391,12,1,1
01-05-2020 03:00,1000.8457,26.642663574218773,0.018735314,0.05897522,15.762716249802168,24.572351074218773,0.017812157,0.067871094,3.261924114043926,22.955163574218773,0.01665249,0.07614136,1.8634076921278653,12,1,1
01-05-2020 04:00,970.6304,26.604272460937523,0.01879625,0.043167114,15.39494716435751,24.518334960937523,0.017873093,0.06826782,3.11890728081852,22.885522460937523,0.01653795,0.093811035,1.7424674947544587,12,1,1
01-05-2020 05:00,954.8015,26.555871582031276,0.018849613,0.0340271,15.132216275925572,24.493371582031276,0.017949345,0.07080078,3.05110909042452,22.829309082031276,0.016453983,0.109375,1.6066253594606077,12,1,1
01-05-2020 06:00,896.3394999999999,26.717919921875023,0.018834364,0.026489258,16.229479860443075,24.811669921875023,0.018094312,0.06741333,3.843791555784797,22.858544921875023,0.016469251,0.12112427,1.5406629917497658,12,1,1
01-05-2020 07:00,914.143,27.435144042968773,0.018643433,0.029678345,19.691434595669936,26.263269042968773,0.018269593,0.0741272,6.424930931343479,23.778894042968773,0.016705567,0.11959839,1.541924604368695,12,1,1
01-05-2020 08:00,979.6018,28.370751953125023,0.018437268,0.049743652,20.70092784626547,28.355126953125023,0.018017652,0.08898926,8.9701011697939,25.448876953125023,0.01665199,0.13244629,1.3987714963186713,12,1,1
01-05-2020 09:00,1002.0474,29.390924072265648,0.018322699,0.07687378,20.137989775599465,30.078424072265648,0.017697088,0.12884521,9.46845111639592,27.390924072265648,0.01654505,0.13519287,0.7114872988440463,12,1,1
01-05-2020 10:00,1021.4722,30.297143554687523,0.018276867,0.11495972,19.497081925592894,31.172143554687523,0.01746815,0.16809082,9.28097034379816,28.890893554687523,0.016796764,0.13201904,0.3304528252843181,12,1,1
01-05-2020 11:00,1040.6137,30.919702148437523,0.018299768,0.15130615,19.08352688131784,31.935327148437523,0.017368982,0.18096924,8.964792738825459,29.841577148437523,0.016949365,0.16766357,1.3421325796701489,12,1,1
01-05-2020 12:00,1073.7033,31.283959960937523,0.018406669,0.17254639,19.000147094157175,32.54958496093752,0.017399589,0.17785645,8.400790259108906,30.205834960937523,0.017224113,0.21252441,2.3236283347715223,12,1,1
01-05-2020 13:00,1073.6495,31.491906738281276,0.018521275,0.18218994,19.361913943302497,33.03878173828127,0.017346349,0.16253662,7.943458024728588,29.741906738281276,0.017476048,0.26782227,2.9464334150992872,12,1,1
01-05-2020 14:00,1079.3951,31.409448242187523,0.018551944,0.16625977,20.06411140031324,33.39382324218752,0.017285464,0.17047119,7.730083548426201,29.018823242187523,0.017682193,0.28686523,2.8370719368318653,12,1,1
01-05-2020 15:00,1089.6387,31.137841796875023,0.018483428,0.122558594,20.90114252353355,33.01284179687502,0.017247466,0.1829834,7.558870906982586,28.419091796875023,0.017773895,0.2906494,2.451479243365494,12,1,1
01-05-2020 16:00,1053.0395,30.644616699218773,0.018323356,0.06881714,21.83929113893516,32.26961669921877,0.01727813,0.1873169,6.930392188332075,27.722741699218773,0.017743522,0.28723145,2.335193288387482,12,1,1
01-05-2020 17:00,1049.8211,29.768151855468773,0.018193692,0.031295776,22.651537184942228,31.065026855468773,0.017873257,0.17895508,5.566701061271964,26.799401855468773,0.017613858,0.25891113,2.6702414407756323,12,1,1
01-05-2020 18:00,1112.8875,28.655572509765648,0.018246872,0.015625,22.530120829780124,29.280572509765648,0.019124253,0.15887451,3.02060860229815,25.639947509765648,0.018002732,0.2397461,2.5366147982507297,12,1,1
01-05-2020 19:00,1189.1761,27.863092041015648,0.0183611,0.019088745,22.399950286265117,28.191217041015648,0.019352922,0.1461792,2.8824077191763244,24.769342041015648,0.018315325,0.2310791,2.129775827861337,12,1,1
01-05-2020 20:00,1189.9854,27.490533447265648,0.018444799,0.029014587,22.1645109087307,27.349908447265648,0.01956632,0.11203003,3.653633049715734,24.209283447265648,0.018399023,0.21844482,2.0223994723069585,12,1,1
01-05-2020 21:00,1180.4964,27.372155761718773,0.018467546,0.031906128,21.955305274295323,26.762780761718773,0.019512773,0.09777832,4.742255772408697,23.965905761718773,0.01827681,0.20214844,2.4919578393810897,12,1,1
01-05-2020 22:00,1187.4785,27.313562011718773,0.01863535,0.030281067,21.07526377448364,26.266687011718773,0.019451695,0.08892822,4.877709401698278,23.813562011718773,0.01812418,0.17626953,2.6883003905994296,12,1,1
01-05-2020 23:00,1138.2879,27.254235839843773,0.018856656,0.027679443,20.23008542248826,25.910485839843773,0.019390713,0.07736206,4.392431568704788,23.722985839843773,0.018009793,0.16192627,2.6417299060492336,12,1,1
